PC_w0,PC_w1,PC_w2,PC_AG,PC_NG,PC_SG,PV_w0,PV_w1,PV_w2,PV_AG,PV_GG,cv_error,synchrony_error
"[3, 217]","[2, 203]","[4, 94]","[4, 173]","[2, 207]","[2, 150]","[1, 214]","[1, 185]","[2, 18]","[4, 203]","[1, 224]",0,1
"[3, 67]","[2, 119]","[4, 224]","[3, 77]","[2, 79]","[2, 59]","[2, 87]","[0, 45]","[0, 230]","[3, 239]","[1, 152]",0.276,0.145
"[3, 92]","[2, 48]","[3, 193]","[4, 117]","[1, 182]","[2, 223]","[1, 72]","[1, 31]","[2, 112]","[4, 171]","[0, 248]",0.582,0.333
"[3, 94]","[1, 124]","[4, 219]","[4, 16]","[1, 186]","[2, 154]","[2, 205]","[1, 68]","[1, 37]","[3, 250]","[1, 26]",0.747,0.163
"[3, 79]","[1, 216]","[3, 140]","[4, 136]","[1, 45]","[2, 133]","[1, 242]","[1, 95]","[0, 157]","[3, 159]","[1, 69]",0.752,0.307
"[3, 76]","[2, 160]","[3, 89]","[4, 209]","[1, 25]","[2, 169]","[1, 199]","[1, 10]","[0, 236]","[4, 247]","[0, 45]",0.772,0.359
"[3, 59]","[2, 224]","[3, 34]","[3, 81]","[1, 126]","[1, 172]","[2, 147]","[1, 38]","[2, 165]","[4, 22]","[0, 250]",0.784,0.597
"[2, 162]","[1, 202]","[3, 109]","[4, 48]","[1, 45]","[2, 199]","[1, 24]","[1, 108]","[1, 196]","[4, 60]","[0, 45]",0.798,0.632
"[3, 56]","[1, 112]","[3, 63]","[4, 20]","[1, 148]","[2, 114]","[1, 47]","[0, 58]","[0, 184]","[4, 143]","[0, 204]",0.804,0.387
"[3, 85]","[2, 21]","[3, 227]","[4, 23]","[2, 53]","[2, 201]","[1, 67]","[1, 88]","[1, 157]","[3, 50]","[0, 147]",0.853,0.286
"[3, 119]","[1, 192]","[4, 224]","[3, 243]","[1, 10]","[2, 208]","[1, 22]","[0, 195]","[1, 216]","[4, 252]","[0, 119]",0.868,0.12
"[3, 89]","[1, 237]","[3, 186]","[3, 125]","[1, 92]","[2, 31]","[1, 104]","[1, 193]","[0, 199]","[3, 176]","[0, 46]",0.878,0.319
"[3, 97]","[1, 27]","[4, 236]","[4, 56]","[1, 154]","[2, 101]","[1, 96]","[0, 69]","[2, 96]","[3, 156]","[0, 167]",0.89,0.229
"[3, 250]","[2, 115]","[4, 212]","[4, 26]","[1, 133]","[2, 153]","[1, 170]","[0, 190]","[2, 10]","[4, 117]","[0, 82]",0.895,0.211
"[3, 171]","[1, 204]","[4, 134]","[3, 94]","[2, 80]","[2, 131]","[2, 51]","[1, 173]","[2, 98]","[4, 211]","[0, 162]",0.903,0.255
"[3, 81]","[1, 173]","[4, 101]","[4, 146]","[1, 45]","[1, 234]","[2, 72]","[1, 131]","[0, 176]","[3, 155]","[1, 223]",0.905,0.32
"[3, 92]","[1, 22]","[4, 142]","[3, 248]","[2, 30]","[1, 201]","[2, 155]","[1, 36]","[2, 60]","[4, 10]","[1, 118]",0.916,0.249
"[3, 130]","[1, 26]","[4, 240]","[3, 104]","[1, 177]","[2, 238]","[2, 107]","[1, 54]","[1, 16]","[4, 239]","[0, 60]",0.923,0.174
"[3, 84]","[2, 235]","[4, 93]","[3, 67]","[2, 101]","[2, 84]","[1, 60]","[0, 234]","[2, 57]","[3, 141]","[0, 244]",0.927,0.331
"[3, 76]","[2, 99]","[4, 82]","[4, 97]","[1, 73]","[2, 234]","[1, 147]","[1, 231]","[1, 83]","[4, 26]","[0, 237]",0.93,0.261
"[3, 115]","[1, 34]","[3, 240]","[3, 18]","[1, 21]","[2, 214]","[1, 118]","[0, 22]","[0, 13]","[3, 22]","[0, 179]",0.938,0.056
"[3, 157]","[2, 72]","[4, 89]","[3, 149]","[2, 124]","[2, 199]","[2, 64]","[0, 11]","[2, 65]","[3, 237]","[1, 102]",0.938,0.217
"[3, 117]","[1, 71]","[4, 251]","[4, 108]","[1, 250]","[2, 134]","[1, 170]","[1, 165]","[2, 233]","[4, 151]","[1, 19]",0.945,0.271
"[3, 163]","[2, 27]","[3, 196]","[4, 90]","[1, 148]","[1, 76]","[1, 15]","[1, 71]","[2, 99]","[3, 98]","[0, 153]",0.948,0.29
"[3, 98]","[2, 117]","[4, 60]","[4, 77]","[2, 22]","[2, 210]","[2, 201]","[1, 92]","[1, 104]","[3, 247]","[1, 194]",0.953,0.262
"[3, 99]","[2, 244]","[4, 219]","[4, 28]","[1, 117]","[1, 223]","[1, 140]","[1, 200]","[1, 143]","[4, 74]","[0, 239]",0.954,0.26
"[3, 65]","[2, 118]","[3, 90]","[4, 238]","[2, 27]","[2, 76]","[1, 223]","[0, 171]","[2, 120]","[4, 43]","[1, 163]",0.955,0.471
"[3, 72]","[2, 89]","[4, 69]","[3, 92]","[1, 129]","[1, 30]","[2, 34]","[1, 19]","[1, 163]","[3, 201]","[1, 196]",0.959,0.43
"[3, 130]","[2, 160]","[3, 164]","[4, 16]","[1, 180]","[2, 238]","[2, 66]","[1, 82]","[2, 87]","[4, 151]","[1, 193]",0.959,0.257
"[3, 121]","[1, 40]","[4, 105]","[4, 59]","[1, 36]","[2, 10]","[1, 123]","[1, 151]","[2, 104]","[4, 168]","[0, 245]",0.96,0.301
"[3, 148]","[2, 200]","[4, 161]","[4, 36]","[2, 215]","[2, 170]","[2, 35]","[0, 254]","[1, 149]","[3, 100]","[0, 198]",0.961,0.225
"[3, 140]","[2, 206]","[3, 242]","[4, 63]","[1, 168]","[2, 250]","[1, 43]","[0, 36]","[1, 132]","[3, 128]","[1, 56]",0.963,0.169
"[3, 185]","[1, 16]","[3, 157]","[4, 216]","[2, 221]","[2, 230]","[1, 242]","[0, 150]","[0, 233]","[4, 150]","[0, 146]",0.969,0.269
"[3, 203]","[1, 196]","[4, 28]","[3, 51]","[1, 58]","[2, 98]","[1, 108]","[0, 196]","[2, 10]","[3, 150]","[1, 26]",0.97,0.147
"[3, 248]","[2, 244]","[3, 215]","[3, 228]","[1, 77]","[1, 106]","[2, 167]","[0, 63]","[2, 200]","[4, 186]","[1, 191]",0.972,0.173
"[3, 132]","[2, 56]","[4, 221]","[3, 108]","[1, 53]","[1, 81]","[1, 24]","[1, 165]","[2, 36]","[3, 146]","[1, 197]",0.973,0.199
"[3, 119]","[2, 21]","[3, 22]","[3, 86]","[2, 162]","[2, 192]","[1, 214]","[1, 206]","[2, 116]","[4, 63]","[1, 187]",0.975,0.332
"[3, 177]","[2, 45]","[3, 139]","[4, 199]","[1, 67]","[1, 206]","[2, 65]","[1, 13]","[2, 62]","[3, 131]","[0, 164]",0.977,0.242
"[3, 66]","[1, 187]","[4, 117]","[4, 84]","[1, 92]","[1, 114]","[1, 129]","[0, 147]","[0, 54]","[3, 132]","[0, 204]",0.977,0.291
"[3, 139]","[2, 238]","[3, 214]","[4, 92]","[1, 187]","[1, 16]","[2, 250]","[0, 193]","[0, 37]","[4, 134]","[1, 244]",0.978,0.304
"[3, 118]","[1, 251]","[3, 183]","[4, 134]","[1, 220]","[2, 123]","[1, 178]","[0, 16]","[2, 20]","[3, 33]","[1, 57]",0.979,0.111
"[3, 182]","[2, 90]","[3, 139]","[4, 63]","[1, 99]","[2, 108]","[1, 53]","[0, 32]","[1, 103]","[4, 192]","[1, 46]",0.979,0.237
"[3, 217]","[2, 159]","[4, 248]","[4, 127]","[1, 62]","[2, 99]","[1, 51]","[0, 103]","[2, 141]","[4, 13]","[1, 219]",0.981,0.177
"[3, 51]","[2, 180]","[3, 208]","[3, 182]","[2, 215]","[1, 36]","[1, 90]","[0, 46]","[2, 149]","[3, 141]","[0, 161]",0.981,0.603
"[3, 111]","[1, 62]","[3, 57]","[3, 222]","[1, 155]","[2, 46]","[2, 19]","[1, 103]","[0, 10]","[4, 176]","[0, 90]",0.984,0.337
"[3, 234]","[2, 58]","[4, 165]","[4, 125]","[1, 45]","[2, 139]","[1, 110]","[1, 33]","[2, 113]","[4, 170]","[1, 127]",0.984,0.22
"[3, 168]","[2, 104]","[3, 244]","[3, 197]","[1, 167]","[2, 213]","[2, 231]","[0, 117]","[1, 70]","[3, 97]","[0, 227]",0.984,0.167
"[3, 77]","[2, 127]","[3, 130]","[4, 120]","[2, 25]","[2, 42]","[2, 21]","[0, 17]","[2, 108]","[4, 207]","[0, 139]",0.985,0.421
"[3, 254]","[2, 120]","[4, 164]","[4, 35]","[2, 97]","[2, 139]","[2, 160]","[0, 149]","[0, 204]","[4, 56]","[1, 132]",0.986,0.16
"[3, 169]","[1, 124]","[3, 40]","[3, 205]","[1, 108]","[1, 152]","[2, 97]","[1, 76]","[2, 127]","[4, 173]","[0, 162]",0.986,0.275
"[3, 98]","[2, 133]","[3, 94]","[3, 116]","[1, 34]","[2, 229]","[2, 54]","[1, 211]","[2, 253]","[4, 48]","[0, 111]",0.986,0.281
"[3, 121]","[2, 155]","[4, 192]","[3, 175]","[2, 233]","[1, 118]","[1, 201]","[1, 50]","[1, 40]","[3, 117]","[1, 143]",0.986,0.302
"[3, 229]","[1, 116]","[3, 130]","[4, 137]","[1, 107]","[1, 68]","[1, 190]","[1, 233]","[1, 60]","[3, 56]","[1, 10]",0.987,0.198
"[3, 69]","[1, 148]","[3, 61]","[4, 88]","[1, 14]","[1, 25]","[2, 70]","[0, 163]","[2, 94]","[3, 91]","[0, 61]",0.987,0.262
"[3, 74]","[1, 176]","[3, 39]","[3, 211]","[2, 150]","[1, 48]","[2, 27]","[1, 70]","[2, 140]","[3, 27]","[1, 105]",0.987,0.386
"[2, 152]","[1, 162]","[3, 99]","[3, 124]","[2, 191]","[1, 207]","[2, 176]","[0, 112]","[2, 47]","[4, 83]","[1, 91]",0.988,
"[3, 58]","[1, 151]","[3, 98]","[3, 230]","[1, 236]","[1, 44]","[2, 226]","[0, 166]","[2, 18]","[3, 34]","[1, 219]",0.988,0.504
"[3, 206]","[1, 217]","[4, 87]","[4, 117]","[2, 135]","[1, 87]","[1, 62]","[0, 40]","[0, 61]","[3, 225]","[1, 239]",0.988,0.227
"[3, 229]","[1, 177]","[3, 126]","[3, 178]","[2, 101]","[1, 80]","[1, 253]","[0, 137]","[0, 200]","[4, 195]","[1, 199]",0.988,0.251
"[3, 163]","[1, 251]","[3, 35]","[4, 24]","[2, 204]","[1, 24]","[2, 224]","[1, 147]","[1, 76]","[3, 196]","[1, 44]",0.988,0.257
"[3, 171]","[1, 172]","[4, 168]","[3, 127]","[1, 128]","[2, 21]","[1, 76]","[0, 241]","[1, 244]","[4, 29]","[0, 219]",0.989,0.203
"[3, 179]","[1, 158]","[3, 122]","[3, 154]","[1, 28]","[1, 145]","[1, 92]","[1, 69]","[1, 139]","[4, 191]","[0, 68]",0.99,0.267
"[3, 135]","[2, 239]","[3, 160]","[3, 244]","[2, 245]","[2, 184]","[2, 82]","[1, 247]","[2, 118]","[4, 63]","[1, 33]",0.99,0.28
"[3, 230]","[1, 154]","[3, 198]","[4, 49]","[2, 204]","[1, 81]","[1, 117]","[1, 167]","[1, 211]","[4, 121]","[1, 167]",0.99,0.23
"[3, 49]","[1, 14]","[4, 135]","[3, 122]","[2, 18]","[1, 166]","[1, 216]","[1, 117]","[0, 86]","[4, 162]","[0, 214]",0.99,0.018
"[2, 97]","[2, 174]","[3, 180]","[3, 230]","[1, 235]","[2, 57]","[2, 175]","[1, 43]","[0, 171]","[4, 91]","[0, 188]",0.991,
"[3, 115]","[2, 166]","[4, 249]","[4, 198]","[1, 84]","[1, 132]","[2, 70]","[1, 81]","[0, 245]","[4, 202]","[1, 16]",0.992,0.299
"[3, 18]","[1, 116]","[4, 89]","[3, 236]","[1, 72]","[2, 179]","[2, 180]","[0, 92]","[1, 32]","[4, 196]","[0, 31]",0.994,
"[2, 125]","[1, 87]","[4, 99]","[3, 33]","[2, 58]","[2, 179]","[2, 174]","[1, 197]","[2, 93]","[4, 42]","[1, 187]",0.994,
"[3, 108]","[2, 86]","[4, 136]","[4, 248]","[1, 26]","[1, 223]","[2, 184]","[0, 129]","[1, 254]","[4, 90]","[0, 73]",0.995,0.318
"[3, 53]","[1, 249]","[3, 19]","[4, 204]","[1, 47]","[2, 63]","[2, 20]","[0, 177]","[2, 222]","[4, 27]","[0, 215]",0.995,0.349
"[2, 110]","[2, 230]","[3, 75]","[3, 161]","[1, 108]","[1, 22]","[2, 161]","[1, 53]","[2, 46]","[3, 202]","[1, 41]",0.996,
"[2, 54]","[2, 33]","[3, 111]","[4, 26]","[1, 21]","[2, 117]","[2, 173]","[1, 225]","[1, 49]","[3, 185]","[1, 179]",0.996,
"[3, 70]","[2, 88]","[4, 215]","[4, 206]","[1, 32]","[1, 68]","[1, 122]","[1, 238]","[2, 240]","[4, 189]","[0, 238]",0.996,0.332
"[3, 236]","[2, 12]","[4, 220]","[3, 181]","[1, 115]","[1, 240]","[2, 230]","[0, 172]","[2, 108]","[4, 144]","[1, 125]",0.996,0.196
"[3, 144]","[2, 29]","[4, 245]","[4, 242]","[1, 24]","[2, 93]","[1, 105]","[0, 107]","[1, 19]","[3, 220]","[0, 156]",0.997,0.225
"[2, 153]","[2, 146]","[3, 49]","[4, 147]","[1, 148]","[1, 111]","[2, 195]","[0, 59]","[2, 157]","[4, 190]","[0, 187]",0.997,
"[3, 47]","[1, 150]","[3, 57]","[4, 129]","[2, 168]","[1, 62]","[2, 114]","[0, 82]","[2, 96]","[3, 207]","[0, 174]",0.997,0.719
"[3, 235]","[1, 118]","[4, 145]","[4, 80]","[2, 131]","[2, 212]","[2, 122]","[0, 102]","[1, 223]","[4, 30]","[1, 106]",0.997,0.176
"[3, 199]","[2, 73]","[4, 107]","[4, 11]","[2, 11]","[1, 156]","[1, 208]","[1, 123]","[0, 146]","[3, 203]","[1, 75]",0.998,0.179
"[2, 27]","[2, 152]","[4, 187]","[4, 166]","[2, 240]","[2, 85]","[2, 204]","[0, 87]","[1, 155]","[4, 82]","[0, 233]",0.998,
"[3, 204]","[2, 82]","[4, 90]","[4, 121]","[1, 222]","[2, 111]","[1, 52]","[1, 80]","[1, 11]","[3, 234]","[1, 196]",0.998,0.192
"[3, 101]","[1, 85]","[3, 194]","[4, 178]","[1, 97]","[2, 23]","[1, 133]","[1, 245]","[1, 56]","[3, 52]","[1, 66]",0.998,0.291
"[3, 73]","[1, 170]","[3, 226]","[3, 156]","[1, 231]","[1, 57]","[1, 181]","[0, 17]","[0, 222]","[3, 62]","[1, 254]",0.998,0.422
"[2, 30]","[2, 114]","[4, 140]","[4, 80]","[1, 206]","[1, 222]","[2, 206]","[0, 38]","[2, 192]","[4, 48]","[1, 105]",0.998,
"[2, 40]","[1, 112]","[3, 19]","[3, 175]","[1, 66]","[2, 35]","[2, 196]","[1, 47]","[1, 61]","[3, 168]","[0, 42]",0.998,
"[3, 219]","[1, 172]","[3, 136]","[3, 204]","[1, 124]","[2, 76]","[1, 254]","[0, 97]","[2, 141]","[3, 232]","[1, 176]",0.998,0.197
"[2, 144]","[1, 161]","[3, 83]","[3, 52]","[1, 126]","[1, 171]","[2, 202]","[0, 107]","[2, 200]","[3, 195]","[0, 72]",0.998,
"[3, 28]","[1, 234]","[4, 178]","[3, 233]","[2, 208]","[1, 32]","[2, 207]","[0, 179]","[0, 240]","[4, 147]","[0, 214]",0.998,
"[3, 46]","[1, 124]","[4, 144]","[4, 55]","[2, 139]","[1, 10]","[1, 209]","[1, 248]","[1, 63]","[3, 215]","[0, 79]",0.998,0.734
"[3, 101]","[2, 151]","[3, 228]","[4, 46]","[1, 50]","[1, 10]","[1, 245]","[1, 11]","[2, 65]","[3, 131]","[1, 41]",0.998,0.309
"[2, 233]","[2, 183]","[3, 244]","[4, 178]","[2, 53]","[1, 41]","[2, 212]","[1, 67]","[1, 128]","[4, 207]","[0, 129]",0.998,
"[2, 241]","[1, 139]","[4, 50]","[3, 32]","[2, 167]","[1, 73]","[2, 218]","[0, 82]","[2, 119]","[4, 35]","[1, 46]",0.999,
"[2, 84]","[1, 165]","[3, 68]","[3, 140]","[1, 243]","[2, 199]","[2, 197]","[0, 200]","[1, 98]","[3, 92]","[1, 141]",0.999,
"[2, 233]","[2, 242]","[3, 177]","[3, 206]","[1, 204]","[1, 92]","[2, 206]","[0, 245]","[1, 215]","[3, 80]","[0, 15]",0.999,
"[3, 229]","[1, 60]","[4, 137]","[3, 175]","[2, 122]","[2, 94]","[1, 181]","[0, 39]","[2, 10]","[3, 103]","[1, 145]",0.999,0.176
"[2, 137]","[1, 173]","[3, 57]","[4, 51]","[2, 227]","[2, 163]","[2, 216]","[0, 85]","[0, 67]","[3, 88]","[1, 39]",0.999,
"[3, 111]","[2, 97]","[3, 87]","[3, 44]","[1, 57]","[1, 67]","[1, 16]","[1, 98]","[2, 23]","[4, 172]","[1, 104]",0.999,0.318
"[3, 36]","[1, 110]","[4, 150]","[4, 167]","[2, 127]","[2, 173]","[2, 216]","[1, 210]","[0, 131]","[4, 130]","[0, 149]",0.999,
"[2, 177]","[1, 60]","[4, 52]","[4, 16]","[1, 165]","[1, 252]","[2, 232]","[0, 217]","[2, 204]","[4, 31]","[0, 146]",0.999,
"[2, 151]","[2, 253]","[4, 232]","[4, 34]","[1, 163]","[2, 197]","[2, 243]","[0, 10]","[1, 104]","[4, 43]","[0, 223]",0.999,
"[2, 149]","[2, 78]","[4, 110]","[4, 112]","[2, 102]","[2, 227]","[2, 232]","[0, 128]","[2, 214]","[4, 240]","[1, 228]",0.999,
"[3, 134]","[2, 200]","[3, 167]","[3, 48]","[1, 35]","[1, 44]","[1, 31]","[0, 245]","[0, 25]","[3, 116]","[0, 236]",0.999,0.229
"[3, 22]","[1, 104]","[3, 23]","[3, 159]","[1, 232]","[1, 14]","[2, 217]","[1, 37]","[1, 103]","[3, 76]","[1, 229]",0.999,
"[2, 197]","[1, 232]","[3, 99]","[4, 184]","[2, 99]","[1, 148]","[2, 191]","[0, 40]","[2, 186]","[3, 92]","[1, 149]",0.999,
"[2, 12]","[2, 119]","[3, 51]","[3, 21]","[1, 232]","[1, 63]","[2, 244]","[0, 148]","[0, 54]","[3, 223]","[1, 189]",0.999,
"[2, 178]","[2, 20]","[4, 100]","[4, 168]","[1, 182]","[1, 79]","[2, 138]","[1, 52]","[1, 67]","[3, 247]","[0, 190]",1,
"[2, 106]","[2, 105]","[4, 17]","[3, 91]","[1, 229]","[2, 249]","[1, 138]","[0, 138]","[1, 206]","[4, 188]","[1, 245]",1,
"[3, 244]","[2, 163]","[3, 23]","[4, 126]","[1, 244]","[1, 234]","[1, 202]","[1, 246]","[1, 75]","[3, 124]","[0, 61]",1,0.194
"[3, 10]","[1, 215]","[4, 229]","[3, 128]","[1, 34]","[1, 114]","[1, 201]","[1, 218]","[2, 217]","[4, 184]","[0, 225]",1,
"[2, 185]","[2, 186]","[3, 23]","[4, 90]","[2, 251]","[1, 23]","[2, 78]","[1, 28]","[2, 207]","[4, 92]","[0, 214]",1,
"[2, 254]","[2, 216]","[3, 79]","[3, 75]","[2, 137]","[1, 145]","[1, 211]","[1, 185]","[2, 134]","[4, 130]","[0, 171]",1,
"[2, 39]","[1, 204]","[3, 236]","[4, 201]","[2, 64]","[1, 217]","[1, 103]","[0, 197]","[2, 29]","[4, 220]","[0, 105]",1,
"[3, 14]","[2, 234]","[3, 196]","[4, 190]","[2, 219]","[2, 64]","[2, 51]","[1, 219]","[0, 72]","[4, 14]","[1, 85]",1,
"[2, 73]","[1, 78]","[3, 155]","[3, 249]","[2, 53]","[2, 16]","[2, 109]","[1, 179]","[0, 230]","[4, 231]","[1, 69]",1,
"[3, 19]","[2, 225]","[3, 195]","[3, 118]","[1, 182]","[1, 111]","[1, 169]","[1, 174]","[1, 174]","[3, 102]","[0, 80]",1,
"[3, 20]","[1, 42]","[3, 68]","[3, 47]","[1, 131]","[1, 104]","[2, 144]","[0, 242]","[0, 149]","[3, 167]","[1, 65]",1,
"[2, 53]","[2, 24]","[4, 236]","[4, 180]","[2, 239]","[1, 82]","[1, 143]","[0, 133]","[0, 34]","[3, 134]","[0, 26]",1,
"[2, 236]","[2, 123]","[3, 139]","[3, 85]","[2, 204]","[2, 211]","[1, 36]","[1, 94]","[1, 202]","[4, 114]","[0, 97]",1,
"[3, 151]","[1, 158]","[3, 14]","[4, 78]","[2, 250]","[1, 50]","[2, 28]","[0, 71]","[0, 142]","[4, 159]","[1, 240]",1,0.262
"[2, 53]","[1, 152]","[3, 138]","[3, 109]","[2, 30]","[2, 77]","[2, 23]","[0, 121]","[2, 184]","[3, 59]","[0, 109]",1,
"[2, 104]","[1, 100]","[4, 161]","[3, 94]","[2, 238]","[2, 49]","[2, 13]","[1, 119]","[1, 100]","[3, 45]","[0, 124]",1,
"[2, 152]","[1, 28]","[4, 173]","[4, 64]","[1, 109]","[1, 196]","[1, 239]","[1, 89]","[0, 137]","[4, 122]","[1, 194]",1,
"[2, 234]","[2, 121]","[3, 47]","[3, 135]","[1, 216]","[2, 74]","[1, 215]","[0, 53]","[1, 52]","[4, 29]","[0, 125]",1,
"[2, 229]","[2, 212]","[3, 221]","[3, 170]","[2, 39]","[2, 226]","[1, 240]","[1, 202]","[0, 128]","[4, 26]","[1, 61]",1,
"[3, 29]","[2, 24]","[4, 163]","[4, 122]","[2, 16]","[2, 89]","[2, 53]","[0, 133]","[0, 85]","[4, 206]","[1, 102]",1,
"[3, 185]","[2, 173]","[3, 102]","[4, 34]","[2, 122]","[2, 126]","[1, 207]","[0, 78]","[1, 154]","[3, 226]","[1, 193]",1,0.224
"[3, 223]","[1, 47]","[3, 189]","[4, 205]","[1, 239]","[1, 44]","[1, 218]","[0, 91]","[0, 143]","[3, 172]","[1, 127]",1,0.227
"[2, 146]","[2, 168]","[3, 103]","[3, 127]","[1, 81]","[2, 41]","[1, 216]","[1, 225]","[1, 183]","[3, 79]","[0, 144]",1,
"[2, 178]","[2, 195]","[4, 40]","[3, 20]","[1, 33]","[2, 35]","[2, 82]","[1, 232]","[1, 196]","[3, 53]","[1, 101]",1,
"[2, 215]","[2, 44]","[4, 181]","[3, 63]","[2, 31]","[1, 36]","[1, 202]","[0, 82]","[0, 203]","[3, 94]","[0, 177]",1,
"[3, 226]","[2, 89]","[3, 230]","[4, 224]","[2, 39]","[2, 81]","[2, 16]","[1, 125]","[0, 139]","[3, 171]","[1, 177]",1,0.206
"[3, 203]","[2, 154]","[3, 23]","[4, 52]","[2, 179]","[1, 121]","[1, 194]","[1, 157]","[1, 112]","[3, 165]","[1, 22]",1,0.223
"[2, 31]","[1, 223]","[3, 174]","[3, 240]","[1, 231]","[1, 93]","[1, 23]","[0, 97]","[2, 138]","[4, 164]","[1, 118]",1,
"[2, 208]","[2, 123]","[3, 167]","[3, 159]","[1, 107]","[2, 65]","[2, 119]","[1, 47]","[2, 187]","[4, 97]","[0, 102]",1,
"[2, 227]","[2, 165]","[4, 240]","[3, 46]","[1, 174]","[2, 75]","[2, 50]","[1, 150]","[2, 42]","[4, 206]","[1, 46]",1,
"[2, 188]","[2, 180]","[3, 246]","[4, 121]","[1, 247]","[2, 152]","[2, 111]","[0, 87]","[0, 226]","[3, 105]","[1, 48]",1,
"[2, 100]","[1, 185]","[3, 26]","[4, 131]","[1, 234]","[2, 134]","[1, 85]","[0, 238]","[0, 149]","[3, 163]","[1, 55]",1,
"[3, 214]","[1, 13]","[3, 97]","[4, 146]","[1, 249]","[1, 90]","[2, 45]","[0, 118]","[0, 127]","[4, 22]","[1, 13]",1,0.213
"[2, 43]","[1, 22]","[4, 108]","[4, 219]","[1, 218]","[1, 156]","[2, 155]","[0, 144]","[2, 34]","[3, 126]","[1, 170]",1,
"[2, 240]","[2, 13]","[3, 69]","[4, 163]","[2, 104]","[1, 188]","[1, 58]","[0, 77]","[2, 32]","[4, 128]","[1, 86]",1,
"[2, 148]","[1, 73]","[4, 140]","[4, 12]","[1, 229]","[2, 93]","[1, 62]","[0, 197]","[2, 198]","[4, 212]","[1, 60]",1,
"[3, 178]","[1, 195]","[3, 49]","[4, 189]","[2, 197]","[2, 216]","[2, 170]","[0, 49]","[0, 18]","[4, 26]","[1, 210]",1,0.229
"[2, 156]","[1, 129]","[3, 115]","[4, 17]","[1, 125]","[1, 116]","[2, 70]","[0, 121]","[1, 248]","[3, 13]","[1, 236]",1,
"[2, 204]","[2, 226]","[3, 110]","[4, 95]","[1, 17]","[1, 75]","[2, 33]","[1, 145]","[2, 65]","[4, 241]","[0, 161]",1,
"[3, 129]","[2, 29]","[4, 211]","[3, 87]","[2, 221]","[1, 118]","[1, 50]","[1, 64]","[2, 189]","[4, 211]","[1, 125]",1,0.3
"[2, 176]","[2, 166]","[3, 162]","[4, 45]","[2, 84]","[1, 174]","[1, 89]","[1, 60]","[0, 16]","[4, 93]","[0, 55]",1,
