PC_w0,PC_w1,PC_w2,PC_AG,PC_NG,PC_SG,PV_w0,PV_w1,PV_w2,PV_AG,PV_GG,cv_error,synchrony_error
"[3, 222]","[1, 52]","[4, 137]","[4, 61]","[2, 186]","[1, 224]","[1, 214]","[1, 23]","[0, 252]","[3, 236]","[1, 78]",1,0.232
"[2, 215]","[1, 43]","[3, 184]","[4, 97]","[1, 147]","[1, 22]","[2, 62]","[0, 75]","[2, 39]","[3, 123]","[0, 200]",1,
"[2, 97]","[1, 90]","[3, 198]","[4, 188]","[2, 190]","[1, 61]","[1, 92]","[1, 49]","[2, 89]","[4, 37]","[0, 150]",1,
"[3, 195]","[2, 94]","[3, 39]","[3, 243]","[2, 218]","[1, 225]","[2, 128]","[0, 16]","[0, 121]","[4, 212]","[0, 126]",1,0.24
"[2, 175]","[2, 44]","[3, 40]","[3, 251]","[2, 145]","[1, 77]","[2, 58]","[1, 120]","[0, 159]","[3, 70]","[0, 117]",1,
"[2, 174]","[1, 158]","[4, 254]","[4, 186]","[1, 219]","[1, 182]","[1, 159]","[0, 170]","[0, 110]","[4, 29]","[0, 168]",1,
"[3, 208]","[1, 55]","[3, 128]","[3, 53]","[2, 193]","[1, 179]","[2, 212]","[1, 24]","[1, 135]","[3, 164]","[1, 167]",1,0.216
"[2, 38]","[2, 252]","[4, 240]","[4, 50]","[1, 74]","[2, 119]","[2, 107]","[1, 249]","[0, 57]","[4, 228]","[0, 116]",1,
"[2, 150]","[2, 68]","[4, 190]","[4, 48]","[1, 78]","[1, 178]","[1, 253]","[0, 249]","[0, 252]","[4, 182]","[0, 75]",1,
"[2, 252]","[1, 171]","[4, 232]","[3, 160]","[1, 131]","[2, 101]","[1, 58]","[1, 102]","[2, 237]","[3, 143]","[1, 188]",1,
"[3, 115]","[2, 104]","[3, 215]","[3, 251]","[2, 162]","[2, 87]","[1, 115]","[0, 146]","[2, 216]","[4, 194]","[0, 235]",1,0.312
"[2, 228]","[2, 211]","[3, 223]","[3, 51]","[2, 100]","[2, 207]","[2, 45]","[0, 192]","[1, 147]","[3, 153]","[1, 248]",1,
"[3, 166]","[1, 44]","[3, 121]","[4, 214]","[1, 132]","[1, 32]","[2, 123]","[0, 181]","[1, 64]","[3, 222]","[0, 227]",1,0.251
"[3, 176]","[2, 164]","[4, 55]","[3, 231]","[2, 193]","[1, 204]","[1, 156]","[1, 231]","[1, 171]","[3, 72]","[0, 144]",1,0.22
"[2, 218]","[1, 137]","[4, 144]","[4, 122]","[2, 114]","[2, 154]","[1, 129]","[1, 242]","[1, 38]","[4, 59]","[0, 182]",1,
"[2, 224]","[1, 81]","[3, 120]","[3, 183]","[2, 64]","[2, 160]","[2, 34]","[1, 163]","[1, 177]","[3, 253]","[0, 32]",1,
"[2, 119]","[2, 99]","[4, 168]","[4, 161]","[2, 215]","[1, 187]","[2, 11]","[1, 71]","[0, 172]","[3, 102]","[0, 209]",1,
"[3, 126]","[1, 138]","[4, 22]","[3, 125]","[2, 70]","[1, 220]","[1, 121]","[1, 48]","[1, 169]","[3, 177]","[1, 73]",1,0.291
"[3, 95]","[1, 60]","[3, 219]","[3, 153]","[1, 192]","[1, 19]","[1, 46]","[0, 246]","[2, 250]","[3, 203]","[1, 69]",1,0.335
"[3, 79]","[2, 81]","[4, 115]","[4, 199]","[2, 203]","[1, 245]","[2, 90]","[1, 188]","[0, 69]","[3, 33]","[1, 205]",1,0.344
"[3, 32]","[1, 214]","[3, 22]","[4, 31]","[2, 142]","[2, 48]","[1, 199]","[1, 39]","[1, 183]","[4, 216]","[0, 18]",1,
"[2, 25]","[2, 250]","[3, 107]","[3, 74]","[1, 41]","[2, 68]","[1, 58]","[0, 179]","[2, 88]","[3, 141]","[1, 139]",1,
"[3, 14]","[1, 68]","[3, 237]","[3, 246]","[2, 161]","[1, 113]","[1, 153]","[1, 208]","[0, 90]","[3, 235]","[1, 65]",1,
"[2, 107]","[2, 68]","[4, 159]","[3, 115]","[2, 178]","[1, 233]","[1, 41]","[1, 136]","[0, 168]","[4, 216]","[0, 176]",1,
"[2, 233]","[1, 149]","[3, 165]","[4, 212]","[2, 79]","[1, 72]","[2, 36]","[1, 150]","[2, 214]","[4, 77]","[0, 168]",1,
"[2, 195]","[1, 48]","[3, 82]","[3, 193]","[1, 238]","[2, 118]","[1, 120]","[1, 244]","[2, 185]","[4, 170]","[0, 27]",1,
"[2, 62]","[2, 141]","[3, 129]","[3, 67]","[1, 189]","[2, 46]","[1, 69]","[0, 186]","[1, 177]","[3, 43]","[0, 250]",1,
"[2, 179]","[2, 58]","[4, 140]","[3, 227]","[2, 117]","[1, 161]","[1, 187]","[0, 103]","[0, 35]","[3, 10]","[1, 244]",1,
"[3, 117]","[1, 66]","[4, 55]","[3, 227]","[1, 182]","[1, 99]","[2, 170]","[0, 100]","[1, 127]","[4, 170]","[0, 26]",1,0.3
"[3, 33]","[2, 20]","[4, 21]","[3, 151]","[1, 93]","[2, 232]","[1, 95]","[1, 207]","[0, 105]","[4, 64]","[0, 206]",1,
"[3, 15]","[2, 134]","[4, 148]","[4, 138]","[2, 10]","[1, 92]","[1, 237]","[1, 184]","[2, 91]","[3, 177]","[1, 83]",1,
"[2, 33]","[2, 206]","[3, 15]","[3, 33]","[1, 113]","[1, 79]","[1, 79]","[1, 16]","[0, 32]","[4, 179]","[0, 204]",1,
"[2, 42]","[1, 212]","[4, 47]","[4, 21]","[2, 42]","[2, 22]","[2, 67]","[1, 54]","[0, 28]","[4, 196]","[1, 130]",1,
"[2, 94]","[1, 228]","[3, 137]","[4, 219]","[2, 228]","[1, 51]","[2, 46]","[0, 91]","[2, 66]","[4, 141]","[1, 37]",1,
"[3, 109]","[1, 208]","[4, 24]","[4, 167]","[2, 50]","[1, 228]","[1, 253]","[0, 159]","[0, 248]","[3, 110]","[0, 100]",1,0.306
"[2, 191]","[2, 21]","[4, 234]","[3, 171]","[2, 53]","[1, 41]","[1, 15]","[0, 120]","[2, 112]","[3, 232]","[1, 156]",1,
"[2, 175]","[1, 144]","[4, 107]","[4, 220]","[2, 46]","[1, 135]","[2, 63]","[0, 241]","[2, 101]","[3, 58]","[1, 75]",1,
"[2, 230]","[1, 153]","[3, 195]","[4, 88]","[2, 239]","[1, 79]","[2, 207]","[0, 140]","[2, 248]","[3, 28]","[0, 28]",1,
"[2, 168]","[1, 186]","[4, 220]","[4, 189]","[1, 144]","[2, 93]","[1, 43]","[1, 227]","[2, 79]","[4, 156]","[0, 253]",1,
"[2, 70]","[1, 237]","[4, 227]","[4, 20]","[2, 158]","[2, 188]","[2, 16]","[1, 131]","[1, 227]","[4, 46]","[1, 235]",1,
"[2, 233]","[1, 56]","[4, 59]","[4, 160]","[2, 191]","[1, 55]","[1, 25]","[0, 26]","[1, 146]","[3, 164]","[1, 142]",1,
"[3, 228]","[2, 243]","[4, 172]","[4, 175]","[2, 103]","[1, 188]","[2, 150]","[0, 193]","[2, 96]","[3, 42]","[0, 158]",1,0.166
"[2, 168]","[1, 23]","[3, 74]","[3, 104]","[1, 98]","[1, 143]","[2, 109]","[0, 62]","[1, 96]","[4, 36]","[0, 185]",1,
"[2, 111]","[2, 101]","[3, 62]","[3, 115]","[2, 170]","[2, 185]","[1, 130]","[1, 104]","[0, 125]","[3, 179]","[1, 78]",1,
"[2, 133]","[2, 39]","[4, 229]","[4, 219]","[1, 158]","[2, 85]","[2, 84]","[1, 169]","[1, 197]","[3, 98]","[1, 39]",1,
"[3, 251]","[1, 42]","[3, 156]","[4, 85]","[2, 149]","[2, 184]","[1, 59]","[0, 61]","[2, 66]","[4, 90]","[0, 51]",1,0.21
"[2, 214]","[1, 179]","[4, 28]","[4, 141]","[1, 221]","[1, 125]","[1, 61]","[1, 69]","[1, 221]","[4, 127]","[0, 13]",1,
"[2, 248]","[2, 120]","[4, 81]","[3, 178]","[1, 216]","[2, 172]","[1, 69]","[0, 54]","[0, 127]","[4, 148]","[1, 141]",1,
"[2, 144]","[2, 146]","[3, 94]","[3, 45]","[2, 249]","[1, 213]","[1, 222]","[0, 55]","[1, 211]","[4, 32]","[0, 103]",1,
"[2, 102]","[2, 189]","[3, 114]","[3, 80]","[1, 88]","[1, 71]","[1, 172]","[1, 149]","[0, 116]","[3, 185]","[1, 90]",1,
"[3, 71]","[2, 51]","[3, 235]","[3, 187]","[2, 86]","[2, 98]","[1, 50]","[0, 119]","[1, 191]","[3, 140]","[1, 254]",1,0.418
"[3, 46]","[1, 55]","[3, 26]","[3, 129]","[2, 169]","[2, 155]","[1, 214]","[1, 174]","[0, 57]","[4, 56]","[0, 32]",1,
"[2, 138]","[2, 34]","[4, 220]","[4, 176]","[2, 251]","[2, 73]","[1, 165]","[1, 84]","[0, 105]","[3, 121]","[0, 218]",1,
"[3, 143]","[1, 97]","[4, 16]","[3, 173]","[2, 236]","[1, 92]","[2, 200]","[0, 152]","[1, 68]","[4, 143]","[0, 198]",1,0.276
"[3, 20]","[1, 38]","[4, 38]","[3, 222]","[1, 21]","[1, 222]","[1, 97]","[0, 81]","[1, 47]","[4, 246]","[1, 248]",1,
"[3, 71]","[2, 250]","[3, 108]","[3, 111]","[2, 228]","[1, 151]","[1, 191]","[1, 95]","[2, 196]","[4, 164]","[1, 188]",1,0.445
"[2, 241]","[1, 218]","[3, 82]","[3, 85]","[1, 153]","[1, 47]","[2, 70]","[1, 109]","[1, 143]","[3, 242]","[0, 147]",1,
"[2, 165]","[1, 24]","[4, 204]","[4, 215]","[1, 101]","[1, 104]","[2, 12]","[1, 22]","[0, 24]","[4, 106]","[0, 136]",1,
"[2, 98]","[1, 123]","[4, 101]","[3, 149]","[2, 211]","[1, 109]","[1, 247]","[0, 141]","[0, 116]","[3, 14]","[0, 21]",1,
"[3, 114]","[1, 202]","[3, 54]","[4, 215]","[2, 119]","[1, 71]","[2, 82]","[0, 50]","[0, 212]","[4, 16]","[1, 184]",1,0.29
"[2, 249]","[1, 227]","[3, 251]","[4, 177]","[2, 220]","[1, 232]","[1, 32]","[0, 242]","[1, 33]","[3, 93]","[0, 56]",1,
"[3, 30]","[2, 242]","[4, 153]","[3, 139]","[2, 248]","[2, 10]","[2, 84]","[1, 104]","[1, 220]","[4, 114]","[1, 142]",1,
"[2, 161]","[2, 253]","[4, 156]","[4, 23]","[1, 216]","[2, 37]","[2, 144]","[0, 179]","[0, 248]","[3, 241]","[0, 251]",1,
"[2, 223]","[2, 141]","[4, 225]","[3, 192]","[2, 143]","[1, 128]","[2, 11]","[1, 81]","[2, 142]","[3, 177]","[0, 44]",1,
"[2, 87]","[2, 168]","[4, 35]","[4, 236]","[1, 62]","[1, 155]","[1, 17]","[1, 180]","[1, 231]","[4, 241]","[0, 108]",1,
"[2, 39]","[2, 72]","[3, 183]","[4, 174]","[2, 143]","[1, 140]","[1, 36]","[1, 33]","[0, 140]","[4, 147]","[0, 13]",1,
"[2, 23]","[2, 244]","[3, 102]","[4, 82]","[2, 69]","[1, 130]","[2, 223]","[1, 38]","[1, 227]","[3, 28]","[1, 142]",1,
"[2, 46]","[1, 143]","[4, 187]","[3, 61]","[2, 231]","[2, 213]","[1, 115]","[1, 119]","[2, 145]","[4, 242]","[0, 95]",1,
"[3, 21]","[1, 98]","[4, 141]","[3, 122]","[2, 95]","[1, 166]","[1, 37]","[1, 86]","[1, 139]","[3, 169]","[0, 64]",1,
"[3, 140]","[1, 211]","[3, 142]","[3, 84]","[2, 217]","[2, 15]","[2, 152]","[1, 47]","[1, 51]","[4, 247]","[0, 154]",1,0.276
"[2, 117]","[1, 116]","[4, 174]","[3, 157]","[1, 218]","[1, 92]","[2, 16]","[1, 86]","[2, 22]","[4, 172]","[1, 147]",1,
"[3, 150]","[2, 59]","[3, 86]","[4, 239]","[2, 49]","[2, 225]","[1, 176]","[0, 53]","[2, 146]","[4, 108]","[0, 53]",1,0.254
"[2, 52]","[1, 81]","[4, 150]","[3, 137]","[1, 196]","[2, 116]","[2, 155]","[1, 186]","[0, 156]","[3, 38]","[1, 204]",1,
"[2, 226]","[1, 147]","[3, 30]","[4, 142]","[2, 32]","[1, 72]","[2, 133]","[0, 216]","[0, 195]","[4, 146]","[1, 168]",1,
"[3, 70]","[1, 207]","[3, 80]","[4, 159]","[1, 228]","[1, 137]","[2, 33]","[1, 31]","[0, 108]","[4, 48]","[0, 10]",1,0.437
"[3, 151]","[1, 94]","[3, 96]","[3, 181]","[2, 186]","[2, 208]","[2, 182]","[1, 191]","[0, 122]","[4, 31]","[0, 193]",1,0.243
"[2, 162]","[1, 78]","[4, 77]","[4, 118]","[1, 203]","[2, 177]","[1, 146]","[1, 254]","[1, 138]","[4, 224]","[0, 223]",1,
"[2, 129]","[2, 250]","[3, 117]","[3, 242]","[1, 220]","[1, 241]","[2, 36]","[1, 249]","[2, 215]","[3, 193]","[0, 156]",1,
"[3, 172]","[2, 232]","[4, 30]","[4, 98]","[2, 58]","[2, 176]","[1, 152]","[1, 209]","[0, 60]","[4, 156]","[0, 182]",1,0.253
"[2, 59]","[1, 152]","[4, 23]","[4, 70]","[1, 238]","[1, 48]","[2, 73]","[0, 226]","[2, 156]","[4, 55]","[1, 108]",1,
"[2, 36]","[2, 136]","[3, 241]","[4, 48]","[2, 54]","[1, 60]","[1, 186]","[0, 49]","[1, 156]","[3, 158]","[1, 140]",1,
"[2, 237]","[1, 19]","[4, 141]","[3, 171]","[2, 222]","[2, 71]","[1, 19]","[0, 16]","[2, 127]","[3, 114]","[0, 57]",1,
"[2, 240]","[2, 57]","[4, 191]","[3, 244]","[2, 58]","[2, 153]","[2, 55]","[1, 45]","[0, 237]","[4, 170]","[1, 43]",1,
"[3, 126]","[1, 26]","[4, 199]","[3, 39]","[2, 246]","[1, 190]","[1, 205]","[1, 66]","[0, 182]","[3, 53]","[1, 75]",1,0.265
"[2, 106]","[2, 160]","[4, 85]","[4, 83]","[2, 125]","[2, 83]","[1, 145]","[0, 11]","[1, 144]","[4, 166]","[0, 64]",1,
"[2, 143]","[1, 13]","[4, 44]","[3, 192]","[1, 218]","[2, 209]","[2, 161]","[0, 89]","[0, 132]","[3, 91]","[1, 225]",1,
"[2, 230]","[1, 43]","[3, 58]","[4, 91]","[2, 246]","[2, 61]","[1, 230]","[1, 119]","[2, 124]","[4, 113]","[1, 241]",1,
"[2, 135]","[2, 168]","[4, 183]","[4, 189]","[2, 36]","[1, 249]","[2, 77]","[1, 37]","[0, 92]","[3, 118]","[1, 181]",1,
"[2, 48]","[1, 76]","[4, 201]","[3, 72]","[1, 221]","[1, 60]","[2, 222]","[0, 79]","[2, 244]","[3, 45]","[1, 156]",1,
"[3, 188]","[1, 252]","[3, 44]","[3, 144]","[2, 184]","[1, 168]","[2, 13]","[1, 56]","[2, 116]","[3, 33]","[0, 171]",1,0.196
"[3, 192]","[2, 166]","[4, 36]","[3, 184]","[1, 116]","[1, 104]","[1, 152]","[0, 252]","[2, 242]","[4, 189]","[0, 229]",1,0.238
"[2, 74]","[2, 47]","[3, 236]","[4, 143]","[2, 143]","[1, 151]","[1, 156]","[1, 116]","[1, 144]","[3, 149]","[0, 53]",1,
"[3, 11]","[1, 161]","[4, 153]","[4, 169]","[1, 177]","[1, 167]","[1, 47]","[0, 108]","[2, 130]","[3, 138]","[0, 22]",1,
"[2, 167]","[1, 205]","[4, 247]","[3, 78]","[1, 89]","[1, 61]","[2, 100]","[0, 134]","[2, 40]","[3, 27]","[0, 76]",1,
"[2, 58]","[2, 198]","[4, 92]","[4, 172]","[1, 59]","[2, 127]","[1, 246]","[1, 57]","[2, 126]","[4, 241]","[1, 123]",1,
"[3, 206]","[2, 150]","[4, 110]","[4, 30]","[2, 207]","[1, 181]","[2, 32]","[1, 129]","[2, 101]","[3, 252]","[1, 227]",1,0.216
"[2, 229]","[2, 211]","[4, 104]","[3, 224]","[2, 233]","[2, 169]","[2, 16]","[1, 182]","[1, 35]","[3, 22]","[1, 125]",1,
"[2, 160]","[2, 45]","[3, 186]","[4, 249]","[2, 125]","[2, 179]","[2, 106]","[0, 76]","[2, 105]","[4, 105]","[1, 61]",1,
"[2, 178]","[2, 41]","[3, 238]","[3, 79]","[2, 21]","[2, 229]","[2, 161]","[1, 241]","[1, 219]","[3, 80]","[1, 11]",1,
"[2, 203]","[1, 211]","[4, 115]","[4, 93]","[1, 92]","[2, 18]","[1, 59]","[0, 240]","[0, 219]","[4, 88]","[0, 167]",1,
"[2, 193]","[2, 44]","[3, 84]","[4, 100]","[1, 111]","[1, 163]","[1, 55]","[1, 59]","[0, 159]","[4, 168]","[0, 126]",1,
"[3, 237]","[2, 45]","[4, 152]","[3, 25]","[1, 168]","[1, 25]","[2, 124]","[1, 232]","[2, 92]","[4, 75]","[1, 69]",1,0.224
"[3, 202]","[1, 96]","[3, 20]","[3, 36]","[2, 144]","[2, 247]","[1, 49]","[1, 62]","[2, 177]","[4, 92]","[1, 203]",1,0.247
"[2, 72]","[1, 178]","[4, 136]","[4, 160]","[2, 129]","[1, 73]","[2, 117]","[0, 137]","[1, 145]","[4, 189]","[1, 215]",1,
"[2, 65]","[2, 184]","[3, 240]","[4, 110]","[1, 146]","[1, 251]","[2, 88]","[0, 19]","[1, 160]","[4, 89]","[1, 125]",1,
"[2, 199]","[2, 209]","[4, 193]","[4, 226]","[2, 210]","[1, 21]","[1, 46]","[1, 188]","[0, 95]","[3, 24]","[0, 232]",1,
"[2, 226]","[1, 220]","[4, 254]","[3, 167]","[1, 186]","[1, 99]","[1, 250]","[1, 52]","[2, 115]","[3, 149]","[1, 246]",1,
"[2, 243]","[2, 53]","[4, 153]","[4, 150]","[1, 221]","[1, 42]","[2, 151]","[0, 109]","[0, 32]","[3, 159]","[0, 102]",1,
"[2, 145]","[1, 65]","[3, 206]","[3, 15]","[1, 154]","[2, 109]","[1, 102]","[0, 217]","[2, 22]","[4, 122]","[1, 97]",1,
"[2, 98]","[2, 125]","[3, 77]","[4, 226]","[2, 137]","[1, 219]","[1, 205]","[0, 250]","[0, 28]","[4, 118]","[1, 250]",1,
"[2, 206]","[1, 97]","[3, 76]","[4, 248]","[2, 182]","[1, 168]","[1, 241]","[0, 131]","[2, 102]","[3, 119]","[0, 98]",1,
"[2, 108]","[1, 220]","[3, 22]","[4, 231]","[2, 214]","[1, 112]","[1, 213]","[1, 183]","[0, 81]","[4, 61]","[0, 18]",1,
"[3, 205]","[2, 159]","[3, 152]","[4, 173]","[2, 112]","[2, 57]","[2, 66]","[1, 74]","[0, 166]","[4, 241]","[0, 213]",1,0.231
"[2, 25]","[1, 227]","[4, 231]","[3, 144]","[1, 10]","[2, 189]","[1, 213]","[1, 245]","[0, 108]","[3, 89]","[0, 95]",1,
"[2, 188]","[2, 197]","[4, 92]","[3, 102]","[2, 135]","[2, 71]","[2, 117]","[0, 15]","[1, 228]","[4, 38]","[1, 159]",1,
"[2, 238]","[1, 121]","[3, 188]","[3, 80]","[1, 211]","[2, 61]","[2, 55]","[0, 126]","[1, 59]","[4, 127]","[1, 34]",1,
"[2, 213]","[1, 165]","[3, 235]","[3, 170]","[2, 54]","[1, 239]","[2, 40]","[0, 234]","[0, 101]","[4, 104]","[0, 14]",1,
"[2, 112]","[1, 150]","[3, 172]","[4, 135]","[1, 163]","[1, 149]","[2, 157]","[0, 175]","[0, 229]","[4, 135]","[0, 67]",1,
"[2, 223]","[1, 172]","[4, 125]","[4, 148]","[1, 148]","[1, 179]","[2, 43]","[0, 132]","[2, 177]","[4, 28]","[1, 142]",1,
"[3, 222]","[1, 139]","[4, 55]","[3, 72]","[1, 223]","[1, 238]","[2, 249]","[1, 22]","[0, 117]","[4, 57]","[1, 129]",1,0.219
"[3, 39]","[2, 245]","[4, 88]","[4, 27]","[1, 223]","[2, 77]","[2, 81]","[1, 162]","[2, 72]","[3, 182]","[0, 194]",1,
"[2, 154]","[2, 126]","[4, 57]","[3, 69]","[2, 134]","[2, 104]","[2, 12]","[0, 222]","[1, 86]","[3, 197]","[1, 180]",1,
"[2, 63]","[1, 91]","[3, 230]","[4, 210]","[1, 34]","[2, 28]","[1, 144]","[0, 24]","[0, 231]","[4, 102]","[1, 87]",1,
"[3, 106]","[1, 217]","[3, 67]","[3, 62]","[2, 102]","[1, 154]","[2, 34]","[0, 201]","[0, 13]","[3, 37]","[1, 157]",1,0.286
"[2, 20]","[1, 95]","[3, 229]","[4, 73]","[2, 23]","[1, 20]","[2, 42]","[0, 219]","[0, 178]","[3, 54]","[0, 44]",1,
"[2, 119]","[2, 55]","[3, 163]","[3, 10]","[1, 187]","[2, 27]","[1, 72]","[0, 175]","[0, 145]","[4, 56]","[0, 174]",1,
"[3, 173]","[1, 185]","[3, 81]","[3, 106]","[2, 172]","[2, 201]","[1, 93]","[0, 166]","[1, 88]","[4, 157]","[0, 236]",1,0.266
"[2, 145]","[1, 248]","[3, 218]","[4, 226]","[2, 36]","[2, 126]","[2, 11]","[0, 212]","[0, 70]","[3, 129]","[0, 40]",1,
"[2, 235]","[1, 207]","[3, 21]","[4, 155]","[1, 179]","[1, 24]","[1, 236]","[1, 58]","[0, 136]","[3, 232]","[0, 69]",1,
"[2, 123]","[2, 196]","[3, 99]","[4, 236]","[1, 198]","[1, 135]","[1, 58]","[0, 76]","[0, 234]","[3, 137]","[1, 43]",1,
"[3, 225]","[2, 183]","[4, 147]","[4, 152]","[1, 249]","[1, 141]","[2, 67]","[0, 22]","[0, 14]","[4, 160]","[0, 105]",1,0.204
"[2, 47]","[2, 154]","[3, 124]","[3, 250]","[1, 83]","[1, 128]","[1, 194]","[1, 99]","[0, 39]","[3, 98]","[0, 191]",1,
"[3, 205]","[2, 244]","[3, 141]","[4, 45]","[1, 247]","[1, 189]","[2, 179]","[1, 142]","[0, 111]","[3, 223]","[1, 65]",1,0.217
"[2, 253]","[2, 130]","[4, 53]","[4, 62]","[1, 173]","[1, 143]","[2, 105]","[1, 90]","[2, 49]","[4, 78]","[0, 235]",1,
"[2, 183]","[1, 123]","[3, 188]","[3, 240]","[2, 146]","[1, 238]","[2, 28]","[0, 33]","[2, 156]","[4, 171]","[0, 193]",1,
"[3, 245]","[2, 28]","[3, 250]","[3, 80]","[1, 192]","[1, 107]","[1, 69]","[0, 215]","[1, 55]","[3, 141]","[1, 39]",1,0.191
"[2, 58]","[2, 166]","[4, 151]","[3, 239]","[2, 26]","[1, 227]","[2, 108]","[0, 21]","[2, 248]","[4, 74]","[0, 207]",1,
"[3, 220]","[1, 252]","[4, 241]","[4, 121]","[1, 19]","[1, 34]","[1, 161]","[1, 158]","[0, 230]","[4, 64]","[1, 247]",1,0.208
"[2, 66]","[2, 59]","[3, 194]","[4, 140]","[1, 87]","[2, 175]","[1, 10]","[0, 18]","[2, 92]","[3, 143]","[0, 245]",1,
"[2, 147]","[1, 44]","[4, 154]","[4, 238]","[1, 244]","[2, 205]","[1, 81]","[1, 98]","[0, 75]","[4, 82]","[0, 142]",1,
"[2, 167]","[2, 100]","[4, 17]","[4, 53]","[1, 147]","[1, 179]","[1, 88]","[1, 224]","[0, 205]","[4, 245]","[0, 159]",1,
"[3, 149]","[2, 53]","[3, 30]","[3, 200]","[2, 15]","[1, 172]","[2, 38]","[0, 176]","[2, 112]","[3, 238]","[0, 158]",1,0.266
"[2, 128]","[1, 24]","[3, 35]","[3, 12]","[2, 114]","[2, 72]","[1, 13]","[1, 167]","[2, 32]","[3, 15]","[1, 135]",1,
"[3, 229]","[1, 18]","[4, 156]","[4, 165]","[2, 128]","[2, 57]","[1, 110]","[1, 20]","[2, 69]","[3, 254]","[0, 172]",1,0.24
"[3, 193]","[1, 172]","[3, 14]","[4, 45]","[1, 131]","[1, 142]","[2, 217]","[0, 118]","[1, 239]","[3, 82]","[0, 231]",1,0.216
"[3, 173]","[2, 86]","[3, 93]","[3, 46]","[2, 103]","[1, 76]","[2, 187]","[0, 126]","[0, 154]","[3, 108]","[0, 61]",1,0.23
"[3, 89]","[1, 114]","[3, 35]","[3, 223]","[2, 91]","[1, 146]","[1, 169]","[1, 222]","[2, 226]","[4, 13]","[1, 126]",1,0.352
"[2, 108]","[1, 57]","[4, 148]","[4, 227]","[2, 27]","[2, 135]","[2, 17]","[1, 234]","[1, 208]","[4, 227]","[0, 212]",1,
"[2, 19]","[2, 198]","[4, 157]","[3, 125]","[2, 48]","[1, 15]","[1, 160]","[1, 135]","[1, 58]","[4, 248]","[1, 253]",1,
"[3, 21]","[1, 234]","[4, 210]","[4, 65]","[1, 143]","[1, 128]","[1, 205]","[0, 224]","[0, 204]","[4, 41]","[1, 129]",1,
"[2, 135]","[1, 206]","[4, 207]","[3, 162]","[2, 32]","[1, 243]","[1, 82]","[0, 181]","[2, 244]","[4, 181]","[1, 116]",1,
"[2, 210]","[2, 202]","[3, 112]","[3, 216]","[1, 41]","[2, 15]","[2, 111]","[0, 172]","[0, 254]","[3, 187]","[1, 100]",1,
"[3, 246]","[2, 145]","[4, 54]","[3, 188]","[1, 189]","[1, 63]","[1, 131]","[0, 188]","[0, 47]","[4, 183]","[0, 169]",21.009,0.588
